MassiveID	filename	Study_SubjectIdentifierAsRecorded	Study_UniqueSubjectID	ATTRIBUTE_Subject_Sex	Subject_AgeInYears	ATTRIBUTE_Subject_LifeStage	Subject_Country	ATTRIBUTE_Subject_HumanPopulationDensity	Analysis_SampleCollectionMethod	Analysis_SampleExtractionMethod	Analysis_InternalStandardsUsed	ATTRIBUTE_Analysis_MassSpectrometer	Analysis_IonizationSourceAndPolarity	Analysis_ChromatographyAndPhase	Analysis_YearOfAnalysis	Study_DayAsReported	Study_DayRelative	Study_TimepointMin	Subject_Health	Study_SampleTypeasRecorded	Study_SampleTermsofPosition	ATTRIBUTE_Curated_SampleType	ATTRIBUTE_Curated_SampleType_Sub1	ATTRIBUTE_Curated_BodyPartOntologyName	ATTRIBUTE_Curated_BodyPartOntologyIndex	Curated_DiseaseCommonName	ATTRIBUTE_Curated_DiseaseOntologyIndex	Curated_Comorbidity_ListDOIDs	ATTRIBUTE_kingdom	ATTRIBUTE_phylum	ATTRIBUTE_class	ATTRIBUTE_order	ATTRIBUTE_family	ATTRIBUTE_genus	ATTRIBUTE_species	ATTRIBUTE_simplified_class
MSV000083351	BAX86_x6_BH8_01_14796.mzXML	BAX83	MSV000083351_BAX83	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	dinornithiformes	dinornithidae	dinornis	dinornis novaezealandiae	birds
MSV000083351	BAX87_x6_BH9_01_14797.mzXML	BAX85	MSV000083351_BAX85	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	dinornithiformes	dinornithidae	dinornis	dinornis novaezealandiae	birds
MSV000083351	BAX88_x6_BH10_01_14798.mzXML	BAX86	MSV000083351_BAX86	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	dinornithiformes	dinornithidae	dinornis	dinornis novaezealandiae	birds
MSV000083351	BAX08_x6_BA8_01_14709.mzXML	BAX08	MSV000083351_BAX08	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	galliformes	phasiandae	tragopan	tragopan blythii	birds
MSV000083351	BAX38_x6_BD5_01_14742.mzXML	BAX38	MSV000083351_BAX38	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_amphibia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	amphibia	caudata	salamandridae	salamandra	salamandra salamandra	amphibian
MSV000083351	BAX48_x6_BE4_01_14755.mzXML	BAX48	MSV000083351_BAX48	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_reptilia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	reptilia	squamata	boidae	corallus	corallus caninus	reptile
MSV000083351	BAX49_x6_BE5_01_14756.mzXML	BAX49	MSV000083351_BAX49	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_reptilia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	reptilia	squamata	varanidae	varanus	varanus exanthematicus	reptile
MSV000083351	BAX05_x6_BA5_01_14706.mzXML	BAX05	MSV000083351_BAX05	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_reptilia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	reptilia	testudines	carettochelyidae	carettochelys	carettochelys insculpta	reptile
MSV000083351	BAX03_x6_BA3_01_14704.mzXML	BAX03	MSV000083351_BAX03	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_mammalia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	mammalia	rodentia	capromyidae	plagiodontia	plagiodontia aedium	mammal
MSV000083351	BAX17_x6_BB6_01_14719.mzXML	BAX17	MSV000083351_BAX17	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_reptilia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	reptilia	testudines	cheloniidae	caretta	caretta caretta	reptile
MSV000083351	BAX54_x6_BE10_01_14761.mzXML	BAX54	MSV000083351_BAX54	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	gruiformes	rallidae	fulica	fulica americana	birds
MSV000083351	BAX45_x6_BE1_01_14752.mzXML	BAX45	MSV000083351_BAX45	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	monotremata	ornithorhynchidae	ornithorhynchus	ornithorhynchus anatinus	birds
MSV000083351	BAX64_x6_BF9_01_14772.mzXML	BAX64	MSV000083351_BAX64	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	musophagiformes	musophagidae	tauraco	tauraco schalowi	birds
MSV000083351	BAX07_x6_BA7_01_14708.mzXML	BAX07	MSV000083351_BAX07	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	passeriformes	laniidae	lanius	lanius ludovicianus	birds
MSV000083351	BAX46_x6_BE2_01_14753.mzXML	BAX46	MSV000083351_BAX46	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_amphibia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	amphibia	gymnophiona	idotyphlidae	gegeneophis	gegeneophis ramaswamii	amphibian
MSV000083351	BAX23_x6_BC1_01_14726.mzXML	BAX23	MSV000083351_BAX23	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_mammalia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	mammalia	rodentia	echimyidae	myocastor	myocastor coypus	mammal
MSV000083351	BAX58_x6_BF3_01_14766.mzXML	BAX58	MSV000083351_BAX58	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_amphibia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	amphibia	gymnophiona	idotyphlidae	hypogeophis	hypogeophis rostratus	amphibian
MSV000083351	BAX28_x6_BC6_01_14731.mzXML	BAX28	MSV000083351_BAX28	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_mammalia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	mammalia	sirenia	trichechidae	trichechus	trichechus manatus	mammal
MSV000083351	BAX47_x6_BE3_01_14754.mzXML	BAX47	MSV000083351_BAX47	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_reptilia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	reptilia	testudines	chelydridae	macrochelys	macrochelys temminckii	reptile
MSV000083351	BAX18_x6_BB7_01_14720.mzXML	BAX18	MSV000083351_BAX18	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	passeriformes	sturnidae	cinnyricinclus	cinnyricinclus leucogaster	birds
MSV000083351	BAX25_x6_BC3_01_14728.mzXML	BAX25	MSV000083351_BAX25	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	passeriformes	thraupidae	chlorophanes	chlorophanes spiza	birds
MSV000083351	BAX26_x6_BC4_01_14729.mzXML	BAX26	MSV000083351_BAX26	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	passeriformes	turdidae	cochoa	cochoa azurea	birds
MSV000083351	BAX62_x6_BF7_01_14770.mzXML	BAX62	MSV000083351_BAX62	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	passeriformes	paradisaeidae	astrapia	astrapia mayeri	birds
MSV000083351	BAX44_x6_BD11_01_14748.mzXML	BAX44	MSV000083351_BAX44	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	pelecaniformes	ardeidae	ardea	ardea herodias	birds
MSV000083351	BAX68_x6_BG2_01_14777.mzXML	BAX68	MSV000083351_BAX68	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	pelecaniformes	threskiornithidae	threskiornis	threskiornis aethiopicus	birds
MSV000083351	BAX53_x6_BE9_01_14760.mzXML	BAX53	MSV000083351_BAX53	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	pelicaniformes	pelecanidae	pelecanus	pelecanus occidentalis	birds
MSV000083351	BAX43_x6_BD10_01_14747.mzXML	BAX43	MSV000083351_BAX43	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	phoenicopteriformes	phoenicpteridae	phoenicoparrus	phoenicoparrus minor	birds
MSV000083351	BAX63_x6_BF8_01_14771.mzXML	BAX63	MSV000083351_BAX63	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	piciformes	capitonidae	capito	capito niger	birds
MSV000083351	BAX40_x6_BD7_01_14744.mzXML	BAX40	MSV000083351_BAX40	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	psittaciformes	psittacidae	amazona	amazona leucocephala	birds
MSV000083351	BAX71_x6_BG5_01_14780.mzXML	BAX71	MSV000083351_BAX71	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_actinopterygii_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	actinopterygii	perciformes	moronidae	dicentrarchus	dicentrarchus labrax	fish
MSV000083351	BAX13_x6_BB2_01_14715.mzXML	BAX13	MSV000083351_BAX13	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_actinopterygii_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	actinopterygii	pleuronectiformes	pleuronectidae	pleuronichthys	pleuronichthys verticalis	fish
MSV000083351	BAX80_x6_BH3_01_14790.mzXML	BAX80	MSV000083351_BAX80	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_actinopterygii_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	actinopterygii	cypriniformes	catostomidae	hypentelium	hypentelium nigricans	fish
MSV000083351	BAX37_x6_BD4_01_14741.mzXML	BAX37	MSV000083351_BAX37	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	rheiformes	rheidae	rhea	rhea americana	birds
MSV000083351	BAX33_x6_BC11_01_14736.mzXML	BAX33	MSV000083351_BAX33	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_actinopterygii_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	actinopterygii	gadiformes	macrouridae	coryphaenoides	coryphaenoides cinereus	fish
MSV000083351	BAX42_x6_BD9_01_14746.mzXML	BAX42	MSV000083351_BAX42	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	sphenisciformes	spheniscidae	eudyptula	eudyptula minor	birds
MSV000083351	BAX77_x6_BG11_01_14786.mzXML	BAX77	MSV000083351_BAX77	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_myxini_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	myxini	myxiniformes	myxinidae	myxine	myxine ios	fish
MSV000083351	BAX75_x6_BG9_01_14784.mzXML	BAX75	MSV000083351_BAX75	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_actinopterygii_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	actinopterygii	perciformes	pomacanthidae	holacanthus	holacanthus ciliaris	fish
MSV000083351	BAX79_x6_BH2_01_14789.mzXML	BAX79	MSV000083351_BAX79	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_sarcopterygii_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	sarcopterygii	coelacanthiformes	can't find	can't find	can't find	fish
MSV000083351	BAX22_x6_BB11_01_14724.mzXML	BAX22	MSV000083351_BAX22	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_actinopterygii_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	actinopterygii	perciformes	chaetodontidae	chaetodon	chaetodon ephippium	fish
MSV000083351	BAX81_x6_BH3_01_14791.mzXML	BAX81	MSV000083351_BAX81	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_myxini_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	myxini	myxiniformes	myxinidae	eptatretus	eptatretus cirrhatus	fish
MSV000083351	BAX72_x6_BG6_01_14781.mzXML	BAX72	MSV000083351_BAX72	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_actinopterygii_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	actinopterygii	cypriniformes	cyprinidae	onychostoma	onychostoma alticorpus	fish
MSV000083351	BAX65_x6_BF10_01_14773.mzXML	BAX65	MSV000083351_BAX65	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	sphenisciformes	spheniscidae	spheniscus	spheniscus demersus	birds
MSV000083351	BAX19_x6_BB8_01_14721.mzXML	BAX19	MSV000083351_BAX19	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	strigiformes	strigidae	ptilopsis	ptilopsis leucotis	birds
MSV000083351	BAX41_x6_BD8_01_14745.mzXML	BAX41	MSV000083351_BAX41	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	strigiformes	strigidae	bubo	bubo bubo	birds
MSV000083351	BAX61_x6_BF6_01_14769.mzXML	BAX61	MSV000083351_BAX61	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	struthioniformes	struthionidae	struthio	struthio camelus	birds
MSV000083351	BAX84_x6_BH6_01_14794.mzXML	BAX87	MSV000083351_BAX87	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	struthioniformes	struthionidae	struthio	struthio camelus australis	birds
MSV000083351	BAX52_x6_BE8_01_14759.mzXML	BAX52	MSV000083351_BAX52	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	suliformes	sulidae	morus	morus bassanus	birds
